Namespace;Type;Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;ActiveTicketCount;ListSize;ConcurrentTickets;AssetCount;TotalTickets;Mean;Error;StdDev;Median;Ratio;RatioSD;Rank;Gen0;Gen1;Allocated;Alloc Ratio
AssetFlowCore.Benchmarks.Infrastructure;DependencyInjectionResolutionBenchmark;'Résolution CreateMaintenanceTicketHandler (5 dépendances)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;NA;NA;NA;NA;?;?;?;NA;NA;NA;?
AssetFlowCore.Benchmarks.Infrastructure;ExceptionHandlingSerializationBenchmark;'Switch pattern dispatch — DomainException';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;10.34 ns;0.248 ns;0.524 ns;10.13 ns;0.18;0.08;1;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Infrastructure;ExceptionHandlingSerializationBenchmark;'Switch pattern dispatch — DbUpdateConcurrencyException';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;11.37 ns;0.793 ns;2.157 ns;10.32 ns;0.20;0.10;1;0.0650;0.0000;136 B;1.06
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Network → Réseau-Télécom';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;50.18 ns;1.089 ns;2.149 ns;49.52 ns;0.89;0.39;2;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Server → Infrastructure-Serveurs';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;67.46 ns;8.739 ns;25.768 ns;77.76 ns;1.20;0.72;3;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Type inconnu → Support-Général (fallback)';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;72.15 ns;1.430 ns;2.855 ns;71.37 ns;1.28;0.56;3;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Laptop High → Support-VIP';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;75.02 ns;4.991 ns;14.559 ns;71.66 ns;1.33;0.65;3;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Application;TicketAssignmentEngineBenchmark;'Laptop Medium → Support-Lectorat';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;87.34 ns;5.551 ns;15.926 ns;84.42 ns;1.55;0.75;4;0.0612;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Domain;MaintenanceTicketStateMachineBenchmark;'Ticket construction — validation invariants';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;156.36 ns;2.988 ns;2.795 ns;155.77 ns;2.77;1.22;5;0.0496;0.0000;104 B;0.81
AssetFlowCore.Benchmarks.Domain;MaintenanceTicketStateMachineBenchmark;'Ticket.AssignToTechnician() — Opened → InProgress';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;156.95 ns;2.802 ns;2.621 ns;156.47 ns;2.78;1.22;5;0.0496;0.0000;104 B;0.81
AssetFlowCore.Benchmarks.Domain;AssetStateMachineBenchmark;'Cycle complet : InService → Down → InMaintenance → InService';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;160.67 ns;2.344 ns;2.078 ns;161.08 ns;2.85;1.25;5;0.0610;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Domain;AssetStateMachineBenchmark;'Asset.MarkAsDown() — InService → Down';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;160.73 ns;2.581 ns;4.655 ns;159.64 ns;2.85;1.25;5;0.0610;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Domain;AssetStateMachineBenchmark;'Asset.RestoreToService() — InMaintenance → InService';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;161.48 ns;2.055 ns;1.716 ns;161.88 ns;2.86;1.26;5;0.0610;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Domain;AssetStateMachineBenchmark;'Asset.MarkInMaintenance() — Down → InMaintenance';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;161.72 ns;2.030 ns;1.585 ns;161.75 ns;2.87;1.26;5;0.0610;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Domain;AssetStateMachineBenchmark;'Asset.Decommission() — InService → Decommissioned';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;162.58 ns;3.255 ns;5.256 ns;160.81 ns;2.88;1.27;5;0.0610;0.0000;128 B;1.00
AssetFlowCore.Benchmarks.Domain;AssetStateMachineBenchmark;'Asset() construction seule — coût d'instanciation';DefaultJob;False;Default;Default;Default;Default;Default;Default;1111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;False;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;?;?;?;?;?;164.64 ns;2.705 ns;5.994 ns;163.26 ns;2.92;1.29;5;0.0610;0.0000;128 B;1.00
